cost_type,mean,std,min,max,median
s_error,11.445452483370797,9.623797650794364,0.23069642459207362,33.02532549965198,11.656544548791988
d_error,91.30946542758731,82.03582391943189,1.9955081356024096,252.81658269214176,74.12638263590544
mu_error,36.72320692094368,33.287755895196604,1.5089180932129165,104.78825668151589,36.41236819922514
v_error,35.60059876217293,23.44199593570201,12.137974750434319,84.69935070364988,29.290196834388986
delta_error,56.769259402061834,50.11717226576135,1.9124742653447773,151.59593575922838,39.0154619496112
a_error,137.67212898707504,89.4098238527071,2.871544785592034,262.3493515015547,180.59311229888544
ddelta,228.80861699242757,203.07413511380005,6.034610616772139,621.0802175389081,154.97561562886574
jerk,286.6466842315229,203.7265460923808,7.410944049113307,648.2698836067028,331.0720549364357
