vel_max_mps,ax_max_mps2,ax_min_mps2,ay_max_mps2
0,3,-4.5,6.131
4,3,-4.5,6.131
8,3,-4.5,6.131
11.11,3,-4.5,6.131
12,2.5,-3.5,6.131
20,2.5,-3.5,6.131
24,2.5,-3.5,6.131
28,2.5,-3.5,6.131
32,2.5,-3.5,6.131
37.5,2.5,-3.5,6.131
