torque_Nm,speed_kph,throttle
1213.4536902285768,3.13963315486908,25.0
1212.6621751824662,3.388200588226318,25.0
1211.990747678336,3.617537870407104,25.0
1211.3406026121206,3.865869140625,25.0
1210.6964164787007,4.094989399909974,25.0
1210.155142831788,4.343083734512329,25.0
1209.5866386624257,4.5910338306427,25.0
1209.0729820689146,4.857926330566407,25.0
1208.580869146194,5.086601686477661,25.0
1208.1104623120198,5.353231544494629,25.0
1207.6235049237598,5.581681079864502,25.0
1207.1543804087712,5.809995002746582,25.0
1206.6708477165664,6.019179239273071,25.0
1205.7056630064876,6.456297426223755,25.0
1205.2438886774778,6.66523344039917,25.0
1204.7653175040157,6.893006029129028,25.0
1204.3068598014224,7.120688667297364,25.0
1203.8072402962289,7.348236465454102,25.0
1203.3495451344306,7.594673795700074,25.0
1202.8838278212202,7.841014137268067,25.0
1202.412303177548,8.068248481750489,25.0
1201.9532617483342,8.29539339065552,25.0
1201.4927635370434,8.522403888702392,25.0
1201.0154438744544,8.749324951171875,25.0
1200.5238202824555,8.995034351348878,25.0
1200.0690704874128,9.221730709075928,25.0
1199.6031892354458,9.46719720840454,25.0
1199.139126450818,9.712518482208251,25.0
1198.672942376684,9.957743110656738,25.0
1197.7211785439708,10.447806816101076,25.0
1197.243257614263,10.69264554977417,25.0
1196.771128176757,10.918538875579834,25.0
1196.2954398434938,11.16313591003418,25.0
1195.8359461269658,11.388806762695312,25.0
1195.362463634108,11.633163299560549,25.0
1194.8763510882025,11.896135482788086,25.0
1194.4139054449172,12.159004497528077,25.0
1193.9457025817742,12.402976512908936,25.0
1193.4870111085954,12.66558614730835,25.0
1193.009555415482,12.928040256500244,25.0
1192.5424936823804,13.152867736816406,25.0
1192.0758905826317,13.377606296539309,25.0
1191.6314399380915,13.6022562789917,25.0
1191.1544070417142,13.845458908081056,25.0
1190.6911792244955,14.069842472076417,25.0
1190.2587784739508,14.312804431915284,25.0
1189.8370574145504,14.5370103263855,25.0
1189.412692751644,14.779780197143555,25.0
1188.569377667523,15.22757194519043,25.0
1188.1384628965595,15.451292037963867,25.0
1187.7155118228657,15.693584175109864,25.0
1187.289512459056,15.917129173278813,25.0
1186.884636535209,16.140542678833008,25.0
1186.4731630336237,16.38245475769043,25.0
1186.061347216519,16.624223670959474,25.0
1185.6314325113512,16.86589714050293,25.0
1185.2123444344488,17.126032447814943,25.0
1184.8016829678747,17.367467308044436,25.0
1184.3747990754223,17.608759002685545,25.0
1183.977734427946,17.81284824371338,25.0
1183.565881536581,18.035381469726563,25.0
1183.1356485243289,18.25778251647949,25.0
1182.7246413900698,18.48009635925293,25.0
1182.326641760358,18.683783912658694,25.0
1181.9539546871415,18.924410247802737,25.0
1181.57651799799,19.146417503356933,25.0
1181.1945858366405,19.368293266296387,25.0
1179.9195421840768,19.81168773651123,25.0
1176.027456827809,20.031781997680667,25.0
1169.4018509850168,20.267254371643062,25.0
1160.7850413228996,20.481308212280275,25.0
1154.381755047947,20.709639472961427,25.0
1147.615446295892,20.935362510681152,25.0
1134.8346621000182,21.15685237884521,25.0
1111.158100562957,21.371177787780763,25.0
1047.788619573924,21.78612899780273,25.0
1010.7299271647051,21.969774742126464,25.0
971.638076615718,22.136769332885745,25.0
933.097477758752,22.28949783325196,25.0
895.6035460015285,22.401902389526366,25.0
853.5612988057396,22.51906917572021,25.0
809.3072323741101,22.641064109802247,25.0
769.8725940340523,22.73917510986328,25.0
739.1377125843034,22.83320297241211,25.0
696.6042180107921,23.053425636291507,25.0
680.6401759248059,23.16003868103028,25.0
669.8029488314445,23.283901977539063,25.0
662.0721740426799,23.398556327819826,25.0
654.2925577258922,23.521971588134765,25.0
648.9645279646725,23.636517791748048,25.0
645.939272915514,23.750998420715334,25.0
643.6878244358985,23.85662166595459,25.0
643.5135826978529,23.96220405578613,25.0
643.3353656020403,24.067722930908204,25.0
643.1726994730755,24.17320026397705,25.0
643.0050925372491,24.27861476898193,25.0
642.8424399292676,24.383986358642577,25.0
642.6755195220718,24.49808143615723,25.0
642.5101366097693,24.603347625732425,25.0
642.3403310898445,24.71732906341553,25.0
642.1672213144875,24.831241493225097,25.0
641.99383969339,24.94510963439941,25.0
641.8124741500973,25.058911514282222,25.0
641.4747062964661,25.28635837554932,25.0
641.2920339964696,25.391251029968263,25.0
641.1212985541342,25.50482837677002,25.0
640.9577251426332,25.60961597442627,25.0
640.7786392971608,25.723078308105467,25.0
640.6078179175921,25.82776050567627,25.0
640.4444610723934,25.93240081787109,25.0
640.2712854313384,26.0369779586792,25.0
640.1078182965525,26.15021369934082,25.0
639.9364117214624,26.25468715667725,25.0
639.7727901633853,26.36780994415283,25.0
639.602832855471,26.48957347869873,25.0
639.4383970052689,26.59390033721924,25.0
639.2678291557937,26.706841850280764,25.0
639.1041173144549,26.819738388061523,25.0
638.757173449071,27.02800174713135,25.0
638.5999947908505,27.14074275970459,25.0
638.4314210973353,27.24473934173584,25.0
638.2645101395029,27.348694725036623,25.0
638.1056538072282,27.4525883102417,25.0
637.9550985642655,27.56510581970215,25.0
637.7916520458332,27.668916320800783,25.0
637.6411521584776,27.77266502380371,25.0
637.4821837123268,27.893633079528808,25.0
637.3245199661857,28.005904769897462,25.0
637.1543305197282,28.12675266265869,25.0
636.9917135223099,28.247552490234376,25.0
636.8413342941537,28.35966796875,25.0
636.6654991948986,28.463086738586423,25.0
636.5016814994419,28.566463623046875,25.0
636.3300814511848,28.669778366088867,25.0
636.1615844504391,28.77305156707764,25.0
635.9918764595682,28.884874534606933,25.0
